# m1 m2 DL Tc iota phic psi thetaS phiS logL logPrior
3.812470792622125577e+36 9.012888255136933252e+35 2.954876789285556929e+26 2.931332140073123574e+07 2.544971278168580486e+00 1.552983555217519074e+00 5.555998315505259466e-01 1.181888211913951325e+00 4.574963530797922395e+00 -3.526617869204306643e-38 0.000000000000000000e+00
3.886747247895079643e+36 9.332072064249634093e+35 3.521228371298315195e+26 3.196582891830898076e+07 1.337153831421472039e-01 3.776869849824302516e-01 2.445356986274691113e+00 9.586213680609816379e-01 2.611379598260745283e+00 -3.436996455220216734e-38 0.000000000000000000e+00
3.081212081260065464e+36 8.623335194527570940e+35 3.167317512740455187e+26 2.866882019811277837e+07 3.325239869168180595e-01 2.592306115452296833e+00 2.689983975803354799e+00 9.417885164973895940e-01 1.575140167016741310e+00 -3.394916430675724438e-38 0.000000000000000000e+00
3.441405499088657545e+36 9.785573099794500016e+35 2.994549116853573265e+26 3.131028858244724572e+07 2.897671673264210490e+00 2.115417576383472387e+00 2.300063488263591083e+00 1.122023888484912524e+00 2.881133623370900398e+00 -3.383466877968853944e-38 0.000000000000000000e+00
2.243876276294752561e+36 8.240654861579863285e+35 2.779861023899462683e+26 2.942785816229341179e+07 2.805118654173947235e+00 2.703074353405132690e+00 2.776085218357971840e+00 1.079844939753261013e+00 5.888545790370141475e+00 -3.348416922855844849e-38 0.000000000000000000e+00
3.623409324045635123e+36 7.340620969757049307e+35 3.120842823616779605e+26 3.631840338725329190e+07 2.684006842030993045e+00 8.537363125172722222e-01 2.977090198351616479e+00 2.220141263241246499e+00 2.353857153346369024e+00 -3.201623744512586099e-38 0.000000000000000000e+00
3.872868454284559534e+36 8.045830326522802152e+35 2.970560558949896083e+26 2.925063174209703133e+07 7.461275561008382518e-01 9.542936232210488257e-01 1.705138517965979705e+00 2.483257565130002398e+00 2.559282636009128975e+00 -3.161955612873202792e-38 0.000000000000000000e+00
3.608263813122544676e+36 9.193927710687462569e+35 2.875802741464351703e+26 3.190811121833514422e+07 2.080649745814481033e+00 6.224254052761470923e+00 3.081731199371347873e+00 1.450187494427281898e+00 4.820023391995176709e+00 -3.106478282078686811e-38 0.000000000000000000e+00
3.830382026577191751e+36 7.891429476899164890e+35 3.495137834677539421e+26 3.661935647327561677e+07 6.407929013666388007e-01 4.879393735300546209e-01 8.952995914862662552e-01 1.076685245911924493e+00 5.337224083802698971e+00 -3.064662915264929076e-38 0.000000000000000000e+00
2.406742161830623163e+36 7.417542462294306347e+35 3.195698449651099235e+26 3.156689956477640942e+07 2.800827810784076721e+00 2.541396257632820621e+00 1.901861068477513905e+00 1.547418113568489240e+00 4.987003801291346683e+00 -2.920792346749169690e-38 0.000000000000000000e+00
3.301817872408116134e+36 5.492334150409081653e+35 2.931884436119429743e+26 3.397146547828257084e+07 1.919098652519859449e-01 2.316521166985238800e+00 2.670568183285801034e+00 1.669931603421475064e+00 5.183454485663144595e+00 -2.863979849904639956e-38 0.000000000000000000e+00
3.603399745723809162e+36 6.656075646674516495e+35 3.018516683625116545e+26 3.660475925154304504e+07 3.882414084680942956e-01 2.142816295222006673e+00 2.814758532443038863e+00 1.501535769556428868e+00 4.669516372934392479e+00 -2.861098291504604357e-38 0.000000000000000000e+00
3.592324805274437671e+36 9.345251738351521070e+35 3.034783209878059173e+26 3.685757553347802162e+07 2.932061334652467099e-01 4.626763923925167887e-01 7.875044711306168344e-01 1.141417963693624138e+00 6.167564318141765867e+00 -2.834453316090640012e-38 0.000000000000000000e+00
3.682262214565575181e+36 8.639746625576772876e+35 3.579499158776430873e+26 3.769958455042535812e+07 2.984240984338119240e+00 4.792082517215326298e+00 7.255937080488878976e-01 8.621157326728559056e-01 5.985483943536940465e+00 -2.815112197324594963e-38 0.000000000000000000e+00
3.191379833000664880e+36 8.109602187273897640e+35 3.385368094760166342e+26 3.228033609120311588e+07 2.571902722930888174e+00 2.644465816367982836e+00 2.368876794247489759e+00 1.808929876821267602e+00 5.415242807490471044e+00 -2.797230342365992538e-38 0.000000000000000000e+00
3.767775478913030898e+36 5.123640415888902554e+35 3.077912114484544837e+26 2.965972158890757710e+07 3.444024870655539305e-01 2.201677286157967206e+00 1.081628462169241356e+00 1.368897531662097045e+00 2.686860915445526299e+00 -2.776452803407054908e-38 0.000000000000000000e+00
3.837160630246461653e+36 5.891263929035891694e+35 3.156891303664996084e+26 3.639230032018112391e+07 2.751506202323990458e+00 8.977906200203916720e-01 2.154069784013973976e+00 1.380247468735450678e+00 2.725793765542862790e+00 -2.735729743621946525e-38 0.000000000000000000e+00
3.647244389996189269e+36 7.126894930150592717e+35 3.570092586264844553e+26 3.193112903652894497e+07 3.010872689376178801e+00 3.626502941730382901e-01 1.552765243381565297e+00 2.181448039081617107e+00 1.425802217367027502e+00 -2.728698931260181023e-38 0.000000000000000000e+00
3.394826224260068292e+36 6.694216339795518031e+35 2.866184170557332782e+26 3.022285975439383462e+07 2.552530890915805983e+00 4.745388914006630543e+00 1.691810579509197110e+00 8.463106482579734191e-01 1.762917081942942277e+00 -2.720112876132030614e-38 0.000000000000000000e+00
3.312100193222231057e+36 8.174721446973315684e+35 3.590150374216190895e+26 3.038277107442897558e+07 2.959258814978228180e+00 1.144207570315873168e+00 8.754629778269538976e-02 8.119286369670697390e-01 5.030260559233981965e+00 -2.689691583866688725e-38 0.000000000000000000e+00
3.248927959776496767e+36 6.812099091995083446e+35 3.079207633010556466e+26 3.728580360087766498e+07 2.658332660900241784e+00 1.699825220324219455e+00 2.932432523167761040e+00 2.034876515374898887e+00 1.699828331877849097e+00 -2.668247753015141564e-38 0.000000000000000000e+00
3.709275169515134063e+36 9.181401860173763871e+35 3.307785245937035568e+26 3.103052916981970146e+07 2.828813587341192370e-01 4.085945501273429592e+00 1.498709103658852460e+00 2.216932291564088775e+00 1.559011679583753418e+00 -2.634714432064661101e-38 0.000000000000000000e+00
3.113055193476966969e+36 5.827012523452951340e+35 3.679066362723361644e+26 3.680042502134573460e+07 2.173730474223807274e-01 4.157919099366750082e+00 2.359118720239285150e+00 1.726668064430660676e+00 4.699949643801643262e+00 -2.567536704324888655e-38 0.000000000000000000e+00
3.723362412405380940e+36 9.391501548930215901e+35 3.665957411123636110e+26 3.195880736135422066e+07 2.676260509005323751e-01 4.460587816276376572e+00 3.105550875437542935e+00 9.551972254900817916e-01 2.494978926719081169e+00 -2.563981619612964148e-38 0.000000000000000000e+00
3.846044528090596897e+36 9.435287145432358583e+35 3.206776671570878958e+26 3.722847112545426190e+07 1.343696464922113087e-02 5.980707259277791898e+00 2.993951770813188862e+00 1.196283066504948200e+00 4.151940006825253882e+00 -2.558811744253395100e-38 0.000000000000000000e+00
3.195854022482422090e+36 8.391956553550294016e+35 2.857569086492253006e+26 3.398839187673723698e+07 2.748118974594663921e+00 5.109555979936410530e+00 2.144220612461968045e+00 1.164533235183028426e+00 1.585552031140677443e+00 -2.542098897489275100e-38 0.000000000000000000e+00
3.422717676014481801e+36 9.357894532123281442e+35 3.596139943903453419e+26 3.723195366422206163e+07 2.683996215476927016e+00 4.878007139900500277e+00 1.444970790104546099e+00 1.834203380661585836e+00 5.652836280121554147e+00 -2.507554177515837192e-38 0.000000000000000000e+00
3.603109196031129837e+36 9.659695900523357750e+35 3.663614430184924551e+26 3.482430072118843347e+07 8.221101294012369554e-01 4.167151368922565879e+00 2.780498529461681301e+00 1.953042143998370950e+00 2.091979962423373696e+00 -2.491899562667298029e-38 0.000000000000000000e+00
3.544573444256758375e+36 7.728029809578845283e+35 3.437456793194460929e+26 3.130796506043115631e+07 3.728695192095767830e-01 3.576254750641417957e+00 3.058729402643897366e+00 1.290463006100280641e+00 1.647315440874986603e+00 -2.485113623479268463e-38 0.000000000000000000e+00
3.743629456905104023e+36 7.889613367527355339e+35 3.614963888845344912e+26 3.306984866998348385e+07 6.281410715819620849e-01 5.677769492911670213e+00 1.561006987677677982e+00 1.421672521459047767e+00 1.552195431443168960e+00 -2.451404509022750271e-38 0.000000000000000000e+00
